Date,	Time,	on_time,	off_time,	P_spike,	P_relax
2018-12-19,	14:30:00,	24,	60,	9.7*10^-9,	2.6*10^-9
2018-12-19,	15:30:00,	24,	60,	1.1*10^-8,	2.4*10^-9
2018-12-19,	16:30:00,	24,	60,	8.8*10^-9,	2.4*10^-9
2018-12-19,	17:15:00,	24,	60,	1.0*10^-8,	2.3*10^-9
2018-12-20,	8:20:00,	24,	60,	1.3*10^-8,	1.8*10^-9
2018-12-20,	8:50:00,	nan,nan, nan,		1.7*10^-9
2018-12-20,	11:00:00,	25,	60,	1.0*10^-7,	2.5*10^-9
2018-12-20,	12:10:00,	25,	60,	7.3*10^-8,	2.5*10^-9
2018-12-20,	14:20:00,	25,	60,	4.0*10^-8,	2.2*10^-9
2018-12-20,	15:40:00,	25,	60,	4.2*10^-8,	2.1*10^-9
2018-12-21,	17:00:00,	30,	60,	4*10^-8,	1.3*10^-9
2018-12-24,	12:10:00,	32,	60,	2.3*10^-8,	1.0*10^-9
2018-12-27,	11:30:00,	36,	60,	2.3*10^-9,	6.1*10^-10
2018-12-29,	17:30:00,	45,	60,	1.0*10^-9,	4.5*10^-10
2019-01-01,	09:15:00,	60,	60,	6.2*10^-10,	3.7*10^-10
2019-01-03,	10:30:00,	18,	60,	9.8*10^-10,	4.4*10^-10
2019-01-03,	14:00:00,	18,	60,	8.8*10^-10,	3.6*10^-10
2019-01-03,	16:30:00,	18,	60,	7.3*10^-10,	3.6*10^-10
2019-01-04,	9:20:00,	20,	60,	6.0*10^-9,	3.6*10^-10
2019-01-07,	9:20:00,	25,	60,	2.4*10^-9,	3.1*10^-10
2019-01-07,	16:40:00,	28,	60,	1.8*10^-9,	3.0*10^-10
2019-01-08,	9:00:00,	nan,nan,4.8*10^-10,	3.0*10^-10
2019-01-08,	17:00:00,	30,	60,	9.4*10^-10,	3.4*10^-10
2019-01-09,	9:00:00,	nan,nan,4.8*10^-10,	3.2*10^-10